,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
SANDIEGO,2013Q3,"$557,751","$199,076","$358,675",64.3%,1.764,1.803
SANDIEGO,2013Q4,"$573,141","$201,480","$371,661",64.8%,1.812,1.872
SANDIEGO,2014Q1,"$587,685","$203,146","$384,539",65.4%,1.858,1.941
SANDIEGO,2014Q2,"$593,385","$204,239","$389,146",65.6%,1.876,1.968
SANDIEGO,2014Q3,"$593,916","$205,046","$388,870",65.5%,1.878,1.970
SANDIEGO,2014Q4,"$601,729","$205,882","$395,847",65.8%,1.903,2.008
SANDIEGO,2015Q1,"$614,210","$206,793","$407,416",66.3%,1.942,2.069
SANDIEGO,2015Q2,"$620,018","$208,410","$411,608",66.4%,1.960,2.094
SANDIEGO,2015Q3,"$629,875","$210,605","$419,270",66.6%,1.992,2.136
SANDIEGO,2015Q4,"$641,167","$213,464","$427,703",66.7%,2.027,2.183
SANDIEGO,2016Q1,"$652,793","$217,438","$435,354",66.7%,2.064,2.229
SANDIEGO,2016Q2,"$659,603","$221,122","$438,481",66.5%,2.086,2.248
SANDIEGO,2016Q3,"$666,109","$224,542","$441,567",66.3%,2.106,2.267
SANDIEGO,2016Q4,"$677,872","$227,283","$450,590",66.5%,2.143,2.316
SANDIEGO,2017Q1,"$692,280","$228,493","$463,787",67.0%,2.189,2.382
SANDIEGO,2017Q2,"$703,906","$229,581","$474,325",67.4%,2.226,2.438
SANDIEGO,2017Q3,"$717,507","$230,264","$487,243",67.9%,2.269,2.507
SANDIEGO,2017Q4,"$729,516","$230,786","$498,730",68.4%,2.307,2.569
SANDIEGO,2018Q1,"$744,248","$235,094","$509,153",68.4%,2.353,2.626
SANDIEGO,2018Q2,"$755,018","$239,677","$515,341",68.3%,2.387,2.662
SANFRANCISCO,1984Q4,"$234,852","$41,957","$192,895",82.1%,0.346,0.297
SANFRANCISCO,1985Q1,"$239,406","$42,897","$196,509",82.1%,0.353,0.304
SANFRANCISCO,1985Q2,"$242,149","$43,677","$198,472",82.0%,0.357,0.308
SANFRANCISCO,1985Q3,"$247,808","$44,431","$203,377",82.1%,0.365,0.317
SANFRANCISCO,1985Q4,"$252,159","$45,205","$206,954",82.1%,0.372,0.323
SANFRANCISCO,1986Q1,"$256,556","$46,119","$210,438",82.0%,0.378,0.330
SANFRANCISCO,1986Q2,"$261,941","$46,979","$214,962",82.1%,0.386,0.338
SANFRANCISCO,1986Q3,"$268,361","$47,858","$220,503",82.2%,0.395,0.347
SANFRANCISCO,1986Q4,"$275,539","$48,744","$226,795",82.3%,0.406,0.358
SANFRANCISCO,1987Q1,"$282,569","$49,363","$233,206",82.5%,0.416,0.368
SANFRANCISCO,1987Q2,"$288,137","$50,330","$237,807",82.5%,0.425,0.376
SANFRANCISCO,1987Q3,"$296,012","$51,387","$244,624",82.6%,0.436,0.388
SANFRANCISCO,1987Q4,"$307,943","$52,543","$255,400",82.9%,0.454,0.406
SANFRANCISCO,1988Q1,"$317,707","$53,876","$263,830",83.0%,0.468,0.421
SANFRANCISCO,1988Q2,"$335,027","$55,177","$279,849",83.5%,0.494,0.448
SANFRANCISCO,1988Q3,"$349,205","$56,503","$292,702",83.8%,0.515,0.470
SANFRANCISCO,1988Q4,"$364,954","$57,833","$307,121",84.2%,0.538,0.494
SANFRANCISCO,1989Q1,"$383,606","$59,487","$324,119",84.5%,0.565,0.524
SANFRANCISCO,1989Q2,"$404,028","$60,731","$343,297",85.0%,0.595,0.556
SANFRANCISCO,1989Q3,"$421,368","$61,921","$359,447",85.3%,0.621,0.584
SANFRANCISCO,1989Q4,"$435,169","$63,094","$372,075",85.5%,0.641,0.606
SANFRANCISCO,1990Q1,"$441,572","$64,046","$377,526",85.5%,0.651,0.615
SANFRANCISCO,1990Q2,"$446,782","$65,261","$381,520",85.4%,0.658,0.623
SANFRANCISCO,1990Q3,"$440,021","$66,440","$373,581",84.9%,0.648,0.611
SANFRANCISCO,1990Q4,"$431,788","$67,516","$364,272",84.4%,0.636,0.597
SANFRANCISCO,1991Q1,"$424,908","$68,224","$356,684",83.9%,0.626,0.585
SANFRANCISCO,1991Q2,"$417,988","$69,108","$348,880",83.5%,0.616,0.573
SANFRANCISCO,1991Q3,"$422,184","$70,001","$352,182",83.4%,0.622,0.580
SANFRANCISCO,1991Q4,"$420,951","$70,931","$350,020",83.1%,0.620,0.577
SANFRANCISCO,1992Q1,"$419,439","$72,751","$346,689",82.7%,0.618,0.574
SANFRANCISCO,1992Q2,"$415,423","$73,483","$341,939",82.3%,0.612,0.567
SANFRANCISCO,1992Q3,"$411,704","$73,954","$337,750",82.0%,0.607,0.561
SANFRANCISCO,1992Q4,"$409,954","$74,163","$335,791",81.9%,0.604,0.557
SANFRANCISCO,1993Q1,"$407,270","$73,247","$334,023",82.0%,0.600,0.552
SANFRANCISCO,1993Q2,"$404,108","$73,293","$330,815",81.9%,0.596,0.547
SANFRANCISCO,1993Q3,"$399,117","$73,441","$325,676",81.6%,0.588,0.538
SANFRANCISCO,1993Q4,"$397,943","$73,693","$324,251",81.5%,0.586,0.536
SANFRANCISCO,1994Q1,"$398,898","$73,926","$324,972",81.5%,0.588,0.537
SANFRANCISCO,1994Q2,"$402,815","$74,457","$328,358",81.5%,0.594,0.543
SANFRANCISCO,1994Q3,"$403,392","$75,161","$328,231",81.4%,0.594,0.543
SANFRANCISCO,1994Q4,"$405,957","$76,045","$329,912",81.3%,0.598,0.547
SANFRANCISCO,1995Q1,"$406,594","$77,570","$329,023",80.9%,0.599,0.547
SANFRANCISCO,1995Q2,"$400,568","$78,604","$321,964",80.4%,0.590,0.536
SANFRANCISCO,1995Q3,"$399,872","$79,594","$320,278",80.1%,0.589,0.534
SANFRANCISCO,1995Q4,"$399,156","$80,518","$318,638",79.8%,0.588,0.533
SANFRANCISCO,1996Q1,"$398,878","$80,983","$317,895",79.7%,0.588,0.531
SANFRANCISCO,1996Q2,"$398,679","$81,904","$316,775",79.5%,0.588,0.531
SANFRANCISCO,1996Q3,"$402,795","$82,927","$319,869",79.4%,0.594,0.537
SANFRANCISCO,1996Q4,"$410,451","$84,075","$326,376",79.5%,0.605,0.549
SANFRANCISCO,1997Q1,"$417,829","$85,565","$332,264",79.5%,0.616,0.561
SANFRANCISCO,1997Q2,"$428,249","$86,945","$341,304",79.7%,0.631,0.578
SANFRANCISCO,1997Q3,"$438,450","$88,428","$350,022",79.8%,0.646,0.594
SANFRANCISCO,1997Q4,"$451,832","$90,038","$361,794",80.1%,0.666,0.616
SANFRANCISCO,1998Q1,"$463,704","$92,130","$371,574",80.1%,0.683,0.636
SANFRANCISCO,1998Q2,"$478,717","$93,822","$384,895",80.4%,0.705,0.660
SANFRANCISCO,1998Q3,"$497,807","$95,420","$402,387",80.8%,0.734,0.692
SANFRANCISCO,1998Q4,"$508,128","$96,826","$411,302",80.9%,0.749,0.709
SANFRANCISCO,1999Q1,"$520,476","$98,000","$422,477",81.2%,0.767,0.730
SANFRANCISCO,1999Q2,"$537,578","$99,043","$438,535",81.6%,0.792,0.759
SANFRANCISCO,1999Q3,"$562,295","$100,045","$462,250",82.2%,0.829,0.801
SANFRANCISCO,1999Q4,"$587,211","$101,092","$486,120",82.8%,0.865,0.844
SANFRANCISCO,2000Q1,"$622,329","$101,133","$521,195",83.7%,0.917,0.904
SANFRANCISCO,2000Q2,"$678,584","$102,885","$575,699",84.8%,1.000,1.000
SANFRANCISCO,2000Q3,"$710,539","$105,169","$605,370",85.2%,1.047,1.054
SANFRANCISCO,2000Q4,"$755,142","$108,022","$647,120",85.7%,1.113,1.130
SANFRANCISCO,2001Q1,"$801,495","$114,187","$687,308",85.8%,1.181,1.209
SANFRANCISCO,2001Q2,"$790,140","$116,948","$673,192",85.2%,1.164,1.187
SANFRANCISCO,2001Q3,"$767,153","$119,037","$648,116",84.5%,1.131,1.144
SANFRANCISCO,2001Q4,"$761,048","$120,496","$640,552",84.2%,1.122,1.131
SANFRANCISCO,2002Q1,"$763,613","$119,418","$644,195",84.4%,1.125,1.134
SANFRANCISCO,2002Q2,"$804,219","$120,141","$684,078",85.1%,1.185,1.204
SANFRANCISCO,2002Q3,"$839,813","$120,706","$719,108",85.6%,1.238,1.265
SANFRANCISCO,2002Q4,"$855,602","$120,997","$734,605",85.9%,1.261,1.292
SANFRANCISCO,2003Q1,"$858,128","$121,536","$736,592",85.8%,1.265,1.297
SANFRANCISCO,2003Q2,"$862,045","$121,373","$740,672",85.9%,1.270,1.304
SANFRANCISCO,2003Q3,"$882,129","$121,512","$760,618",86.2%,1.300,1.339
SANFRANCISCO,2003Q4,"$917,247","$122,404","$794,842",86.7%,1.352,1.399
SANFRANCISCO,2004Q1,"$954,492","$123,771","$830,721",87.0%,1.407,1.460
SANFRANCISCO,2004Q2,"$996,589","$126,612","$869,977",87.3%,1.469,1.529
SANFRANCISCO,2004Q3,"$1,041,271","$129,881","$911,389",87.5%,1.534,1.601
SANFRANCISCO,2004Q4,"$1,094,563","$133,096","$961,468",87.8%,1.613,1.689
SANFRANCISCO,2005Q1,"$1,169,471","$136,120","$1,033,351",88.4%,1.723,1.816
SANFRANCISCO,2005Q2,"$1,221,590","$138,509","$1,083,081",88.7%,1.800,1.904
SANFRANCISCO,2005Q3,"$1,258,179","$140,687","$1,117,492",88.8%,1.854,1.965
SANFRANCISCO,2005Q4,"$1,284,666","$142,854","$1,141,812",88.9%,1.893,2.009
SANFRANCISCO,2006Q1,"$1,303,497","$144,370","$1,159,127",88.9%,1.921,2.038
SANFRANCISCO,2006Q2,"$1,299,282","$147,074","$1,152,208",88.7%,1.915,2.028
SANFRANCISCO,2006Q3,"$1,278,323","$150,073","$1,128,250",88.3%,1.884,1.987
SANFRANCISCO,2006Q4,"$1,272,238","$153,283","$1,118,955",88.0%,1.875,1.974
SANFRANCISCO,2007Q1,"$1,282,240","$157,403","$1,124,837",87.7%,1.890,1.989
SANFRANCISCO,2007Q2,"$1,257,284","$160,870","$1,096,414",87.2%,1.853,1.942
SANFRANCISCO,2007Q3,"$1,219,383","$164,638","$1,054,745",86.5%,1.797,1.871
SANFRANCISCO,2007Q4,"$1,161,974","$168,940","$993,034",85.5%,1.712,1.765
SANFRANCISCO,2008Q1,"$1,069,925","$174,318","$895,607",83.7%,1.577,1.596
SANFRANCISCO,2008Q2,"$970,002","$179,164","$790,838",81.5%,1.429,1.412
SANFRANCISCO,2008Q3,"$885,092","$183,378","$701,714",79.3%,1.304,1.255
SANFRANCISCO,2008Q4,"$801,176","$186,337","$614,840",76.7%,1.181,1.101
SANFRANCISCO,2009Q1,"$739,194","$187,835","$551,359",74.6%,1.089,0.989
SANFRANCISCO,2009Q2,"$722,590","$187,946","$534,644",74.0%,1.065,0.960
SANFRANCISCO,2009Q3,"$769,479","$187,539","$581,941",75.6%,1.134,1.046
SANFRANCISCO,2009Q4,"$809,687","$187,206","$622,482",76.9%,1.193,1.120
SANFRANCISCO,2010Q1,"$832,655","$185,698","$646,957",77.7%,1.227,1.161
SANFRANCISCO,2010Q2,"$842,458","$187,194","$655,264",77.8%,1.241,1.177
SANFRANCISCO,2010Q3,"$831,024","$189,781","$641,243",77.2%,1.225,1.154
SANFRANCISCO,2010Q4,"$817,562","$193,315","$624,247",76.4%,1.205,1.126
SANFRANCISCO,2011Q1,"$805,332","$199,166","$606,166",75.3%,1.187,1.100
SANFRANCISCO,2011Q2,"$793,918","$203,425","$590,493",74.4%,1.170,1.075
SANFRANCISCO,2011Q3,"$785,089","$207,341","$577,748",73.6%,1.157,1.055
SANFRANCISCO,2011Q4,"$777,175","$210,631","$566,544",72.9%,1.145,1.038
SANFRANCISCO,2012Q1,"$769,857","$212,761","$557,096",72.4%,1.135,1.023
SANFRANCISCO,2012Q2,"$797,319","$214,927","$582,391",73.0%,1.175,1.072
SANFRANCISCO,2012Q3,"$832,834","$217,131","$615,703",73.9%,1.227,1.136
SANFRANCISCO,2012Q4,"$872,465","$219,740","$652,724",74.8%,1.286,1.208
SANFRANCISCO,2013Q1,"$918,380","$223,320","$695,060",75.7%,1.353,1.290
SANFRANCISCO,2013Q2,"$988,316","$227,023","$761,293",77.0%,1.456,1.417
SANFRANCISCO,2013Q3,"$1,047,117","$230,744","$816,373",78.0%,1.543,1.523
SANFRANCISCO,2013Q4,"$1,079,093","$234,068","$845,025",78.3%,1.590,1.580
SANFRANCISCO,2014Q1,"$1,119,837","$236,591","$883,247",78.9%,1.650,1.654
SANFRANCISCO,2014Q2,"$1,141,632","$238,845","$902,787",79.1%,1.682,1.694
SANFRANCISCO,2014Q3,"$1,148,055","$240,863","$907,191",79.0%,1.692,1.705
SANFRANCISCO,2014Q4,"$1,180,607","$242,956","$937,650",79.4%,1.740,1.766
SANFRANCISCO,2015Q1,"$1,221,212","$245,256","$975,956",79.9%,1.800,1.841
SANFRANCISCO,2015Q2,"$1,253,267","$248,172","$1,005,096",80.2%,1.847,1.899
SANFRANCISCO,2015Q3,"$1,274,286","$251,747","$1,022,539",80.2%,1.878,1.936
SANFRANCISCO,2015Q4,"$1,307,992","$256,182","$1,051,809",80.4%,1.928,1.994
SANFRANCISCO,2016Q1,"$1,332,629","$262,227","$1,070,403",80.3%,1.964,2.034
SANFRANCISCO,2016Q2,"$1,340,047","$267,692","$1,072,355",80.0%,1.975,2.041
SANFRANCISCO,2016Q3,"$1,355,597","$272,720","$1,082,877",79.9%,1.998,2.063
SANFRANCISCO,2016Q4,"$1,382,323","$276,721","$1,105,601",80.0%,2.037,2.108
SANFRANCISCO,2017Q1,"$1,408,551","$278,041","$1,130,510",80.3%,2.076,2.155
SANFRANCISCO,2017Q2,"$1,416,167","$279,704","$1,136,463",80.2%,2.087,2.168
SANFRANCISCO,2017Q3,"$1,447,327","$280,881","$1,166,447",80.6%,2.133,2.227
SANFRANCISCO,2017Q4,"$1,502,410","$281,937","$1,220,472",81.2%,2.214,2.332
SANFRANCISCO,2018Q1,"$1,555,762","$287,831","$1,267,930",81.5%,2.293,2.426
SANFRANCISCO,2018Q2,"$1,569,781","$294,146","$1,275,635",81.3%,2.313,2.444
SANJOSE,1984Q4,"$185,263","$57,279","$127,984",69.1%,0.311,0.233
SANJOSE,1985Q1,"$188,977","$58,225","$130,752",69.2%,0.317,0.240
SANJOSE,1985Q2,"$191,447","$58,908","$132,540",69.2%,0.321,0.244
SANJOSE,1985Q3,"$196,637","$59,523","$137,114",69.7%,0.330,0.253
SANJOSE,1985Q4,"$200,932","$60,130","$140,801",70.1%,0.337,0.260
SANJOSE,1986Q1,"$203,886","$60,639","$143,247",70.3%,0.342,0.265
SANJOSE,1986Q2,"$206,759","$61,381","$145,378",70.3%,0.347,0.270
SANJOSE,1986Q3,"$210,686","$62,207","$148,479",70.5%,0.354,0.276
SANJOSE,1986Q4,"$215,031","$63,101","$151,929",70.7%,0.361,0.283
SANJOSE,1987Q1,"$219,156","$63,944","$155,212",70.8%,0.368,0.290
SANJOSE,1987Q2,"$223,415","$64,986","$158,429",70.9%,0.375,0.297
SANJOSE,1987Q3,"$229,196","$66,120","$163,076",71.2%,0.385,0.307
SANJOSE,1987Q4,"$237,316","$67,347","$169,969",71.6%,0.398,0.321
SANJOSE,1988Q1,"$245,903","$68,789","$177,114",72.0%,0.413,0.336
SANJOSE,1988Q2,"$257,723","$70,131","$187,591",72.8%,0.433,0.357
SANJOSE,1988Q3,"$274,398","$71,485","$202,913",73.9%,0.461,0.387
SANJOSE,1988Q4,"$295,787","$72,833","$222,954",75.4%,0.497,0.427
SANJOSE,1989Q1,"$317,302","$74,829","$242,473",76.4%,0.533,0.468
SANJOSE,1989Q2,"$341,673","$75,905","$265,767",77.8%,0.574,0.514
SANJOSE,1989Q3,"$361,113","$76,747","$284,366",78.7%,0.606,0.551
SANJOSE,1989Q4,"$370,407","$77,383","$293,024",79.1%,0.622,0.568
SANJOSE,1990Q1,"$369,815","$76,745","$293,070",79.2%,0.621,0.566
SANJOSE,1990Q2,"$363,984","$77,412","$286,573",78.7%,0.611,0.553
SANJOSE,1990Q3,"$357,661","$78,211","$279,451",78.1%,0.600,0.540
SANJOSE,1990Q4,"$349,709","$79,059","$270,650",77.4%,0.587,0.523
SANJOSE,1991Q1,"$344,593","$80,053","$264,539",76.8%,0.579,0.512
SANJOSE,1991Q2,"$342,275","$80,841","$261,433",76.4%,0.575,0.507
SANJOSE,1991Q3,"$339,686","$81,619","$258,067",76.0%,0.570,0.502
SANJOSE,1991Q4,"$339,430","$82,433","$256,997",75.7%,0.570,0.501
SANJOSE,1992Q1,"$339,270","$83,944","$255,326",75.3%,0.570,0.500
SANJOSE,1992Q2,"$334,833","$84,645","$250,188",74.7%,0.562,0.491
SANJOSE,1992Q3,"$332,593","$85,167","$247,426",74.4%,0.558,0.486
SANJOSE,1992Q4,"$331,156","$85,506","$245,649",74.2%,0.556,0.482
SANJOSE,1993Q1,"$325,404","$85,044","$240,360",73.9%,0.546,0.470
SANJOSE,1993Q2,"$322,547","$85,280","$237,266",73.6%,0.542,0.464
SANJOSE,1993Q3,"$318,567","$85,599","$232,968",73.1%,0.535,0.456
SANJOSE,1993Q4,"$317,024","$86,007","$231,017",72.9%,0.532,0.452
SANJOSE,1994Q1,"$316,358","$86,349","$230,009",72.7%,0.531,0.450
SANJOSE,1994Q2,"$317,598","$87,019","$230,579",72.6%,0.533,0.452
SANJOSE,1994Q3,"$318,527","$87,860","$230,667",72.4%,0.535,0.453
SANJOSE,1994Q4,"$319,176","$88,876","$230,300",72.2%,0.536,0.453
SANJOSE,1995Q1,"$320,249","$90,438","$229,812",71.8%,0.538,0.455
SANJOSE,1995Q2,"$317,324","$91,633","$225,690",71.1%,0.533,0.448
SANJOSE,1995Q3,"$318,256","$92,815","$225,442",70.8%,0.534,0.449
SANJOSE,1995Q4,"$320,783","$93,960","$226,822",70.7%,0.539,0.453
SANJOSE,1996Q1,"$325,666","$94,928","$230,739",70.9%,0.547,0.461
SANJOSE,1996Q2,"$331,052","$96,038","$235,014",71.0%,0.556,0.471
SANJOSE,1996Q3,"$338,520","$97,185","$241,335",71.3%,0.568,0.486
SANJOSE,1996Q4,"$347,411","$98,393","$249,018",71.7%,0.583,0.503
SANJOSE,1997Q1,"$357,400","$99,806","$257,594",72.1%,0.600,0.522
SANJOSE,1997Q2,"$368,539","$101,152","$267,387",72.6%,0.619,0.544
SANJOSE,1997Q3,"$380,305","$102,570","$277,734",73.0%,0.639,0.566
SANJOSE,1997Q4,"$393,870","$104,081","$289,789",73.6%,0.661,0.593
SANJOSE,1998Q1,"$408,307","$105,930","$302,377",74.1%,0.686,0.621
SANJOSE,1998Q2,"$425,156","$107,494","$317,662",74.7%,0.714,0.655
SANJOSE,1998Q3,"$438,054","$108,935","$329,119",75.1%,0.735,0.680
SANJOSE,1998Q4,"$447,548","$110,165","$337,383",75.4%,0.751,0.698
SANJOSE,1999Q1,"$459,005","$111,088","$347,917",75.8%,0.771,0.721
SANJOSE,1999Q2,"$474,910","$111,931","$362,979",76.4%,0.797,0.754
SANJOSE,1999Q3,"$494,977","$112,741","$382,236",77.2%,0.831,0.795
SANJOSE,1999Q4,"$521,357","$113,628","$407,730",78.2%,0.875,0.849
SANJOSE,2000Q1,"$558,220","$113,881","$444,339",79.6%,0.937,0.924
SANJOSE,2000Q2,"$595,614","$115,362","$480,252",80.6%,1.000,1.000
SANJOSE,2000Q3,"$632,122","$117,255","$514,867",81.5%,1.061,1.074
SANJOSE,2000Q4,"$663,632","$119,521","$544,111",82.0%,1.114,1.137
SANJOSE,2001Q1,"$679,449","$124,088","$555,361",81.7%,1.141,1.168
SANJOSE,2001Q2,"$672,853","$126,145","$546,708",81.3%,1.130,1.151
SANJOSE,2001Q3,"$659,496","$127,669","$531,827",80.6%,1.107,1.121
SANJOSE,2001Q4,"$652,325","$128,665","$523,660",80.3%,1.095,1.103
SANJOSE,2002Q1,"$659,972","$127,203","$532,769",80.7%,1.108,1.116
SANJOSE,2002Q2,"$676,628","$127,640","$548,988",81.1%,1.136,1.149
SANJOSE,2002Q3,"$693,251","$127,999","$565,251",81.5%,1.164,1.182
SANJOSE,2002Q4,"$700,763","$128,167","$572,596",81.7%,1.177,1.197
SANJOSE,2003Q1,"$702,242","$128,742","$573,500",81.7%,1.179,1.201
SANJOSE,2003Q2,"$699,250","$128,610","$570,640",81.6%,1.174,1.195
SANJOSE,2003Q3,"$707,991","$128,885","$579,106",81.8%,1.189,1.212
SANJOSE,2003Q4,"$725,241","$130,055","$595,186",82.1%,1.218,1.246
SANJOSE,2004Q1,"$745,079","$131,981","$613,099",82.3%,1.251,1.282
SANJOSE,2004Q2,"$778,959","$135,392","$643,567",82.6%,1.308,1.346
SANJOSE,2004Q3,"$816,609","$139,328","$677,281",82.9%,1.371,1.418
SANJOSE,2004Q4,"$852,896","$143,277","$709,618",83.2%,1.432,1.486
SANJOSE,2005Q1,"$891,063","$147,203","$743,860",83.5%,1.496,1.560
SANJOSE,2005Q2,"$927,056","$150,360","$776,696",83.8%,1.556,1.631
SANJOSE,2005Q3,"$958,765","$153,307","$805,458",84.0%,1.610,1.693
SANJOSE,2005Q4,"$978,610","$156,250","$822,360",84.0%,1.643,1.731
SANJOSE,2006Q1,"$989,895","$158,979","$830,917",83.9%,1.662,1.750
SANJOSE,2006Q2,"$990,155","$162,311","$827,844",83.6%,1.662,1.746
SANJOSE,2006Q3,"$981,746","$165,766","$815,979",83.1%,1.648,1.724
SANJOSE,2006Q4,"$979,521","$169,253","$810,268",82.7%,1.645,1.715
SANJOSE,2007Q1,"$995,120","$173,216","$821,903",82.6%,1.671,1.745
SANJOSE,2007Q2,"$998,661","$176,780","$821,882",82.3%,1.677,1.749
SANJOSE,2007Q3,"$978,009","$180,623","$797,386",81.5%,1.642,1.700
SANJOSE,2007Q4,"$943,719","$185,027","$758,692",80.4%,1.584,1.621
SANJOSE,2008Q1,"$897,031","$190,566","$706,465",78.8%,1.506,1.514
SANJOSE,2008Q2,"$850,018","$195,663","$654,355",77.0%,1.427,1.406
SANJOSE,2008Q3,"$811,443","$200,119","$611,324",75.3%,1.362,1.316
SANJOSE,2008Q4,"$772,494","$203,244","$569,251",73.7%,1.297,1.227
SANJOSE,2009Q1,"$730,006","$204,492","$525,514",72.0%,1.226,1.134
SANJOSE,2009Q2,"$712,224","$204,568","$507,657",71.3%,1.196,1.097
SANJOSE,2009Q3,"$728,422","$204,121","$524,301",72.0%,1.223,1.134
SANJOSE,2009Q4,"$748,568","$203,840","$544,728",72.8%,1.257,1.179
SANJOSE,2010Q1,"$755,491","$202,902","$552,589",73.1%,1.268,1.194
SANJOSE,2010Q2,"$751,908","$204,573","$547,335",72.8%,1.262,1.185
SANJOSE,2010Q3,"$739,773","$207,312","$532,461",72.0%,1.242,1.155
SANJOSE,2010Q4,"$731,326","$210,976","$520,350",71.2%,1.228,1.132
SANJOSE,2011Q1,"$728,097","$216,824","$511,273",70.2%,1.222,1.120
SANJOSE,2011Q2,"$721,389","$221,191","$500,198",69.3%,1.211,1.100
SANJOSE,2011Q3,"$715,864","$225,183","$490,681",68.5%,1.202,1.082
SANJOSE,2011Q4,"$718,619","$228,524","$490,095",68.2%,1.207,1.084
SANJOSE,2012Q1,"$726,596","$230,598","$495,998",68.3%,1.220,1.100
SANJOSE,2012Q2,"$748,616","$232,723","$515,893",68.9%,1.257,1.147
SANJOSE,2012Q3,"$779,667","$234,881","$544,786",69.9%,1.309,1.215
SANJOSE,2012Q4,"$819,970","$237,488","$582,482",71.0%,1.377,1.303
SANJOSE,2013Q1,"$863,186","$241,272","$621,914",72.0%,1.449,1.396
SANJOSE,2013Q2,"$910,665","$244,930","$665,736",73.1%,1.529,1.498
SANJOSE,2013Q3,"$947,133","$248,499","$698,634",73.8%,1.590,1.576
SANJOSE,2013Q4,"$967,774","$251,572","$716,202",74.0%,1.625,1.619
SANJOSE,2014Q1,"$995,332","$253,545","$741,787",74.5%,1.671,1.679
SANJOSE,2014Q2,"$1,015,159","$255,394","$759,765",74.8%,1.704,1.722
SANJOSE,2014Q3,"$1,039,446","$257,040","$782,407",75.3%,1.745,1.777
SANJOSE,2014Q4,"$1,067,164","$258,749","$808,414",75.8%,1.792,1.839
SANJOSE,2015Q1,"$1,100,198","$260,776","$839,422",76.3%,1.847,1.912
SANJOSE,2015Q2,"$1,135,318","$263,319","$871,999",76.8%,1.906,1.989
SANJOSE,2015Q3,"$1,168,870","$266,543","$902,327",77.2%,1.962,2.062
SANJOSE,2015Q4,"$1,202,524","$270,625","$931,899",77.5%,2.019,2.132
SANJOSE,2016Q1,"$1,226,354","$276,161","$950,193",77.5%,2.059,2.178
SANJOSE,2016Q2,"$1,243,211","$281,326","$961,885",77.4%,2.087,2.207
SANJOSE,2016Q3,"$1,257,165","$286,055","$971,110",77.2%,2.111,2.230
SANJOSE,2016Q4,"$1,273,902","$289,724","$984,178",77.3%,2.139,2.261
SANJOSE,2017Q1,"$1,297,792","$290,782","$1,007,011",77.6%,2.179,2.311
SANJOSE,2017Q2,"$1,328,233","$292,015","$1,036,218",78.0%,2.230,2.379
SANJOSE,2017Q3,"$1,374,271","$292,713","$1,081,558",78.7%,2.307,2.485
SANJOSE,2017Q4,"$1,430,368","$293,244","$1,137,124",79.5%,2.402,2.614
SANJOSE,2018Q1,"$1,498,072","$298,785","$1,199,287",80.1%,2.515,2.759
SANJOSE,2018Q2,"$1,558,192","$304,783","$1,253,408",80.4%,2.616,2.886
SANTAANA,1984Q4,"$187,615","$51,883","$135,731",72.3%,0.513,0.450
SANTAANA,1985Q1,"$190,327","$52,864","$137,463",72.2%,0.520,0.458
SANTAANA,1985Q2,"$192,058","$54,002","$138,056",71.9%,0.525,0.462
SANTAANA,1985Q3,"$195,770","$55,184","$140,586",71.8%,0.535,0.472
SANTAANA,1985Q4,"$198,598","$56,339","$142,259",71.6%,0.543,0.480
SANTAANA,1986Q1,"$201,668","$57,641","$144,028",71.4%,0.551,0.489
SANTAANA,1986Q2,"$205,513","$58,576","$146,937",71.5%,0.562,0.502
SANTAANA,1986Q3,"$209,887","$59,411","$150,476",71.7%,0.574,0.516
SANTAANA,1986Q4,"$215,545","$60,192","$155,353",72.1%,0.589,0.535
SANTAANA,1987Q1,"$221,955","$60,836","$161,119",72.6%,0.607,0.556
SANTAANA,1987Q2,"$228,713","$61,657","$167,056",73.0%,0.625,0.578
SANTAANA,1987Q3,"$236,298","$62,548","$173,750",73.5%,0.646,0.604
SANTAANA,1987Q4,"$246,413","$63,532","$182,881",74.2%,0.673,0.638
SANTAANA,1988Q1,"$257,188","$64,586","$192,602",74.9%,0.703,0.674
SANTAANA,1988Q2,"$269,879","$65,753","$204,126",75.6%,0.738,0.716
SANTAANA,1988Q3,"$286,433","$66,972","$219,461",76.6%,0.783,0.773
SANTAANA,1988Q4,"$306,611","$68,211","$238,400",77.8%,0.838,0.842
SANTAANA,1989Q1,"$323,935","$69,838","$254,097",78.4%,0.885,0.902
SANTAANA,1989Q2,"$339,946","$70,902","$269,043",79.1%,0.929,0.958
SANTAANA,1989Q3,"$351,856","$71,837","$280,019",79.6%,0.962,0.999
SANTAANA,1989Q4,"$361,508","$72,680","$288,827",79.9%,0.988,1.032
SANTAANA,1990Q1,"$365,660","$72,963","$292,697",80.0%,0.999,1.045
SANTAANA,1990Q2,"$364,536","$73,833","$290,703",79.7%,0.996,1.039
SANTAANA,1990Q3,"$361,199","$74,755","$286,444",79.3%,0.987,1.025
SANTAANA,1990Q4,"$355,500","$75,681","$279,819",78.7%,0.972,1.003
SANTAANA,1991Q1,"$351,159","$76,436","$274,723",78.2%,0.960,0.985
SANTAANA,1991Q2,"$347,593","$77,339","$270,253",77.8%,0.950,0.971
SANTAANA,1991Q3,"$344,016","$78,243","$265,773",77.3%,0.940,0.957
